chrom	start	end	strand	gene
chr1	1853395	1859368	-	C1orf222
chr1	1884751	1935276	-	KIAA1751
chr1	1944651	1946969	-	AK054708
chr1	1950767	1962192	+	GABRD
chr1	1981908	2116834	+	PRKCZ
chr1	2112574	2114663	+	AX747530
chr1	2121236	2123179	+	BC018779
chr1	2115898	2139172	-	C1orf86
chr1	2160133	2241652	+	SKI
chr1	2281852	2284100	-	LOC100129534
chr1	2252695	2322993	-	MORN1
chr1	2323213	2336885	+	RER1
chr1	2336240	2344010	-	PEX10
chr1	2407753	2436969	+	PLCH2
chr1	2439974	2458035	-	PANK4
chr1	2460183	2461684	-	HES5
chr1	2481358	2484284	-	LOC115110
chr1	2486162	2488450	-	LOC100133445
chr1	2487804	2495267	+	TNFRSF14
chr1	2517898	2522908	+	FAM213B
chr1	2522080	2564481	-	MMEL1
chr1	2572806	2706230	-	TTC34
chr1	2938045	2939467	+	ACTRT2
chr1	2976180	2984289	-	FLJ42875
chr1	3044538	3044599	+	MIR4251
chr1	2985741	3355185	+	PRDM16
chr1	3371146	3397677	+	ARHGEF16
chr1	3404505	3528059	-	MEGF6
chr1	3477259	3477354	-	MIR551A
chr1	3541555	3546694	+	TPRG1L
chr1	3547330	3566671	-	WRAP73
chr1	3569128	3652765	+	TP73
chr1	3652547	3663937	-	TP73-AS1
chr1	3668964	3688209	+	CCDC27
chr1	3689333	3692546	+	SMIM1
chr1	3696783	3713068	-	LRRC47
chr1	3728644	3773797	-	CEP104
chr1	3773844	3801993	+	DFFB
chr1	3805696	3816857	-	C1orf174
chr1	3816967	3833879	+	LOC100133612
chr1	4000671	4012643	+	LOC728716
chr1	4472110	4484744	+	LOC284661
chr1	4715104	4843851	+	AJAP1
chr1	4847557	4852183	+	BC037321
chr1	5624130	5624203	+	MIR4417
chr1	5621768	5728315	-	AK125078
chr1	5922731	5922801	-	MIR4689
chr1	5922869	6052533	-	NPHP4
chr1	6052357	6161253	+	KCNAB2
chr1	6161846	6240194	-	CHD5
chr1	6245079	6259679	-	RPL22
chr1	6266188	6281359	+	RNF207
chr1	6281252	6296044	-	ICMT
chr1	6297870	6299502	+	C1orf211
chr1	6304251	6305638	+	HES3
chr1	6307405	6321035	-	GPR153
chr1	6324331	6453826	-	ACOT7
chr1	6472497	6484730	-	HES2
chr1	6489893	6489956	-	MIR4252
chr1	6484847	6521004	+	ESPN
chr1	6521213	6526255	-	TNFRSF25
chr1	6526151	6580121	-	PLEKHG5
chr1	6581406	6614658	-	NOL9
chr1	6615337	6639817	+	TAS1R1
chr1	6640055	6649340	+	ZBTB48
chr1	6650778	6662929	-	KLHL21
chr1	6673755	6684093	+	PHF13
chr1	6684924	6695646	+	THAP3
chr1	6694227	6761966	-	DNAJC11
chr1	6845383	7829766	+	CAMTA1
chr1	7831328	7841492	+	VAMP3
chr1	7844379	7905237	+	PER3
chr1	7903142	7973294	-	UTS2
chr1	466078	238107030	-	TRNA_Pseudo
chr1	7975930	8003225	-	TNFRSF9
chr1	8043018	8045341	+	AX747125
chr1	8021713	8045342	+	PARK7
chr1	8071778	8086393	-	ERRFI1
chr1	8384389	8404227	+	SLC45A1
chr1	8440651	8441235	-	BC113958
chr1	8412463	8877699	-	RERE
chr1	8921058	8939151	-	ENO1
chr1	8938893	8939943	+	ENO1-AS1
chr1	9005892	9035148	+	CA6
chr1	9063358	9086404	-	SLC2A7
chr1	9097004	9148510	-	SLC2A5
chr1	9164475	9189250	-	GPR157
chr1	9211726	9211836	-	MIR34A
chr1	9208345	9242451	-	mir-34
chr1	9294862	9331394	+	H6PD
chr1	9352940	9429590	+	SPSB1
chr1	327954	242524490	-	5S_rRNA
chr1	9599527	9642831	+	SLC25A33
chr1	9648931	9674935	+	TMEM201
chr1	9712667	9714644	-	C1orf200
chr1	9740902	9747627	-	BC038541
chr1	9711789	9789172	+	PIK3CD
chr1	9789078	9884550	-	CLSTN1
chr1	9908333	9970316	-	CTNNBIP1
chr1	9989775	10003427	-	LZIC
chr1	10003485	10045556	+	NMNAT1
chr1	10057254	10076078	+	RBP7
chr1	10093040	10241296	+	UBE4B
chr1	10270763	10441661	+	KIF1B
chr1	10459084	10480201	+	PGD
chr1	10490158	10502872	+	APITD1
chr1	10490158	10512060	+	APITD1-CORT
chr1	10509775	10512060	+	CORT
chr1	10520602	10532613	-	DFFA
chr1	10535002	10690815	+	PEX14
chr1	10696665	10856733	-	CASZ1
chr1	2710433	243729741	+	Mir_584
chr1	11006529	11042094	-	C1orf127
chr1	11072678	11085549	+	TARDBP
chr1	11086579	11107296	-	MASP2
chr1	11114648	11120091	-	SRM
chr1	11126675	11159938	-	EXOSC10
chr1	11166587	11322608	-	MTOR
chr1	11203954	11209595	+	MTOR-AS1
chr1	11249345	11256038	+	ANGPTL7
chr1	11333254	11348491	+	UBIAD1
chr1	11539294	11597640	+	PTCHD2
chr1	11708417	11714888	-	FBXO2
chr1	11714431	11723384	+	FBXO44
chr1	11724149	11734409	+	FBXO6
chr1	11734536	11751678	-	MAD2L2
chr1	11751780	11780336	+	DRAXIN
chr1	11782186	11785914	+	AK125437
chr1	11796141	11810828	+	AGTRAP
chr1	11824461	11849642	+	C1orf167
chr1	11845786	11866160	-	MTHFR
chr1	11866152	11903201	+	CLCN6
chr1	11900375	11907674	+	NPPA-AS1
chr1	11905766	11907840	-	NPPA
chr1	11917520	11918992	-	NPPB
chr1	11979644	11986485	-	KIAA2013
chr1	11994723	12035599	+	PLOD1
chr1	12040237	12073572	+	MFN2
chr1	12079298	12092106	+	MIIP
chr1	12123433	12204264	+	TNFRSF8
chr1	12251761	12251839	+	MIR4632
chr1	12227059	12269277	+	TNFRSF1B
chr1	12290112	12572098	+	VPS13D
chr1	12567299	12567451	+	SNORA59B
chr1	12627938	12677820	-	DHRS3
chr1	12704565	12727097	+	AADACL4
chr1	12776117	12788726	+	AADACL3
chr1	12806162	12821102	+	C1orf158
chr1	12834983	12838048	+	PRAMEF12
chr1	12851545	12856777	+	PRAMEF1
chr1	12884467	12891264	-	PRAMEF11
chr1	12907235	12908237	-	LOC649330
chr1	12907260	12908578	-	HNRNPCL1
chr1	12916940	12921764	+	PRAMEF2
chr1	12939032	12946025	-	PRAMEF4
chr1	12952726	13635299	-	PRAMEF10
chr1	12976449	13611550	+	PRAMEF8
chr1	12998301	13007406	-	PRAMEF6
chr1	13035542	13038381	+	PRAMEF22
chr1	12998301	13369057	-	PRAMEF5
chr1	13182959	13184326	-	LOC440563
chr1	13328195	13331692	-	PRAMEF3
chr1	13421175	13648988	+	PRAMEF9
chr1	13447413	13452656	-	PRAMEF13
chr1	13474052	13698405	-	PRAMEF19
chr1	13495253	13498259	+	PRAMEF16
chr1	13516065	13747803	+	PRAMEF20
chr1	13716087	13719064	+	PRAMEF17
chr1	13801444	13840242	-	LRRC38
chr1	13910251	13944452	+	PDPN
chr1	14026734	14151574	+	PRDM2
chr1	14146461	14150513	+	AK124197
chr1	14925212	15444544	+	KAZN
chr1	15438310	15478960	-	TMEM51-AS1
chr1	15479027	15546974	+	TMEM51
chr1	15653175	15670372	-	AK055853
chr1	15573767	15726778	+	FHAD1
chr1	15736390	15756839	+	EFHD2
chr1	15764937	15773153	+	CTRC
chr1	15783222	15798586	+	CELA2A
chr1	15802595	15817895	+	CELA2B
chr1	15817323	15851285	-	CASP9
chr1	15853351	15918874	+	DNAJC16
chr1	15898193	15911605	-	AGMAT
chr1	15943952	15987552	+	DDI2
chr1	15986363	15988217	+	RSC1A1
chr1	15992765	15995537	+	DQ573015
chr1	16010826	16061264	+	PLEKHM2
chr1	16062808	16067884	+	SLC25A34
chr1	16068986	16074292	+	TMEM82
chr1	16083153	16113084	+	FBLIM1
chr1	16133656	16134194	-	UQCRHL
chr1	16160709	16174642	-	FLJ37453
chr1	16174358	16266950	+	SPEN
chr1	16268363	16302627	-	ZBTB17
chr1	16317618	16317647	-	DQ576383
chr1	16330730	16333184	+	C1orf64
chr1	16340522	16346089	-	HSPB7
chr1	16345369	16360545	+	CLCNKA
chr1	16355620	16383821	+	CLCNKB
chr1	16384263	16400127	-	FAM131C
chr1	16450831	16482582	-	EPHA2
chr1	16524598	16539104	-	ARHGEF19
chr1	16558181	16563659	-	RSG1
chr1	16576558	16678948	-	FBXO42
chr1	16693524	16724643	+	SZRD1
chr1	16721826	16724639	+	AL832937
chr1	16722175	16763919	-	SPATA21
chr1	16767166	16786584	+	NECAP2
chr1	16793930	16819196	-	CROCCP3
chr1	468369	161591538	-	TRNA_Asn
chr1	16860349	16862144	-	BC036435
chr1	16862254	16864669	+	AX747988
chr1	686735	161500974	-	TRNA_Gly
chr1	16875408	17185516	+	MIR3675
chr1	16888921	16940100	-	NBPF1
chr1	16944750	16971178	-	CROCCP2
chr1	16955701	16956958	-	BC015342
chr1	16956164	16971178	-	FLJ00313
chr1	16972068	16976915	+	MST1P2
chr1	4724646	180649467	-	TRNA_Val
chr1	17017712	17046652	-	ESPNP
chr1	17081128	17090975	-	MST1L
chr1	17197439	17200574	+	AK125737
chr1	17215040	17216161	-	BC070363
chr1	17222645	17222720	+	DL489931
chr1	17066767	17299474	+	CROCC
chr1	17300998	17308081	-	MFAP2
chr1	17312452	17338423	-	ATP13A2
chr1	17345224	17380665	-	SDHB
chr1	17393255	17445948	-	PADI2
chr1	17531620	17572501	+	PADI1
chr1	17575592	17610727	+	PADI3
chr1	17634689	17690495	+	PADI4
chr1	17698740	17728195	+	PADI6
chr1	17733250	17766250	-	RCC2
chr1	17846826	18024370	+	ARHGEF10L
chr1	18081807	18153558	+	ACTL8
chr1	18701063	18702174	+	AX747631
chr1	18434239	18704977	+	IGSF21
chr1	18807423	18812540	+	KLHDC7A
chr1	18957499	19075360	+	PAX7
chr1	19166092	19186155	-	TAS1R2
chr1	19209695	19209769	-	MIR4695
chr1	19197923	19229293	-	ALDH4A1
chr1	19230773	19282826	-	IFFO2
chr1	19398603	19402005	-	AX747516
chr1	19400999	19536746	-	UBR4
chr1	19542157	19578053	-	EMC1
chr1	19578074	19586622	+	MRTO4
chr1	19592475	19600568	-	AKR7L
chr1	19609056	19615280	-	AKR7A3
chr1	19619740	19622230	-	LOC100506730
chr1	19629201	19638640	-	AKR7A2
chr1	19638739	19658922	+	PQLC2
chr1	19673334	19675427	-	AX748283
chr1	440404	233514858	+	Metazoa_SRP
chr1	19665266	19812066	-	CAPZB
chr1	19934300	19935138	+	RPS14P3
chr1	19923470	19956315	+	MINOS1
chr1	19923470	19984949	+	MINOS1-NBL1
chr1	19969722	19984949	+	NBL1
chr1	19991779	20006055	+	HTR6
chr1	20008705	20126758	-	TMCO4
chr1	20140521	20141771	-	RNF186
chr1	20208887	20239437	+	OTUD3
chr1	20246799	20250110	-	PLA2G2E
chr1	20301923	20306932	-	PLA2G2A
chr1	20354671	20418394	+	PLA2G5
chr1	20439142	20446059	-	PLA2G2D
chr1	20465822	20476879	+	PLA2G2F
chr1	20490483	20501687	-	PLA2G2C
chr1	20512577	20519942	+	UBXN10
chr1	20617411	20681387	+	VWA5B1
chr1	20686293	20755287	-	LOC339505
chr1	20808883	20812728	-	CAMK2N1
chr1	20825940	20834674	-	MUL1
chr1	20878931	20881513	+	FAM43B
chr1	20915443	20945400	+	CDA
chr1	20959947	20978004	+	PINK1
chr1	20978259	20988037	-	DDOST
chr1	20990506	21044317	-	KIF17
chr1	21046224	21059330	-	SH2D5
chr1	21069170	21113799	-	HP1BP3
chr1	21132784	21503381	-	EIF4G3
chr1	21602542	21604868	-	AX747766
chr1	21543739	21672034	-	ECE1
chr1	21619782	21626362	+	LOC100506801
chr1	21749600	21754300	-	AK098438
chr1	21761832	21762609	+	BC127868
chr1	21766582	21811393	+	NBPF3
chr1	21835857	21904905	+	ALPL
chr1	21922707	21995856	-	RAP1GAP
chr1	22004791	22109688	-	USP48
chr1	22138757	22151714	+	LDLRAD2
chr1	22148736	22263750	-	HSPG2
chr1	22303417	22333141	+	CELA3B
chr1	22328148	22339035	+	CELA3A
chr1	22351706	22357715	+	LINC00339
chr1	22379119	22419436	+	CDC42
chr1	22443797	22470385	-	WNT4
chr1	22778343	22857650	+	ZBTB40
chr1	22890003	22930087	+	EPHA8
chr1	22963117	22966175	+	C1QA
chr1	22970117	22974603	+	C1QC
chr1	22979681	22988029	+	C1QB
chr1	23046009	23046091	+	MIR4684
chr1	23189651	23189719	-	MIR4253
chr1	23037330	23241823	+	EPHB2
chr1	23243782	23247347	+	AK025975
chr1	23337326	23342343	-	LOC729059
chr1	23370797	23370865	+	MIR3115
chr1	23345940	23410184	+	KDM1A
chr1	893483	231616962	+	U6
chr1	23410515	23504301	-	LUZP1
chr1	23518387	23521222	-	HTR1D
chr1	23636275	23670853	-	HNRNPR
chr1	23685940	23696357	-	ZNF436
chr1	23695463	23698330	+	C1orf213
chr1	23707554	23751261	-	TCEA3
chr1	23755055	23811057	-	ASAP3
chr1	23801092	23803135	-	BC038455
chr1	23853364	23855542	+	AX748204
chr1	23832919	23857712	-	E2F2
chr1	23884420	23886285	-	ID3
chr1	23907984	23967056	+	MDS2
chr1	24018268	24022915	+	RPL11
chr1	24069855	24088549	+	TCEB3
chr1	24086871	24104787	-	LOC100506963
chr1	24104875	24114722	+	PITHD1
chr1	24117645	24122029	+	LYPLA2
chr1	24122088	24127294	-	GALE
chr1	24128366	24165110	-	HMGCL
chr1	24171571	24194859	-	FUCA1
chr1	24200459	24239817	-	CNR2
chr1	24255559	24255637	+	MIR378F
chr1	29662	24289949	+	PNRC2
chr1	24291417	24295600	-	AK054635
chr1	36272	24306953	-	SRSF10
chr1	24320925	24320957	-	DQ588542
chr1	24382530	24438665	-	MYOM3
chr1	24446260	24469775	-	IL22RA1
chr1	24480646	24513765	-	IFNLR1
chr1	24526729	24538180	+	LOC284632
chr1	24578722	24578758	-	DQ597487
chr1	24579767	24579803	-	DQ601330
chr1	24645811	24690970	+	GRHL3
chr1	24683488	24741587	-	STPG1
chr1	24742244	24799473	+	NIPAL3
chr1	24822822	24828850	-	RCAN3AS
chr1	24828840	24863510	+	RCAN3
chr1	24882566	24935818	+	NCMAP
chr1	24969593	24999772	+	SRRM1
chr1	25071759	25170815	+	CLIC4
chr1	25169384	25170807	+	Z24749
chr1	25227540	25230414	-	AX747207
chr1	25226001	25291612	-	RUNX3
chr1	25548766	25559013	-	SYF2
chr1	25568739	25664656	-	C1orf63
chr1	25629228	25631643	-	AX747205
chr1	25598980	25656936	+	RHD
chr1	25664788	25688852	+	TMEM50A
chr1	25688739	25756683	-	RHCE
chr1	25757387	25826698	+	TMEM57
chr1	25870075	25895377	+	LDLRAP1
chr1	25943958	26111258	+	MAN1C1
chr1	26126666	26144713	+	SEPN1
chr1	26146444	26150097	-	LOC646471
chr1	26146396	26159433	+	MTFR1L
chr1	26160496	26185848	-	AUNIP
chr1	26187974	26197744	-	PAQR7
chr1	26210676	26233368	-	STMN1
chr1	26232852	26232945	-	MIR3917
chr1	26286257	26324648	-	PAFAH2
chr1	26348270	26362954	+	EXTL1
chr1	26364513	26372604	-	SLC30A2
chr1	26377795	26394125	-	TRIM63
chr1	26437655	26452039	+	PDIK1L
chr1	26485510	26489119	+	FAM110D
chr1	26496387	26497364	+	ZNF593
chr1	26503980	26516375	+	CNKSR1
chr1	26517118	26529033	+	CATSPER4
chr1	26551810	26556331	+	BC030768
chr1	26560692	26605299	+	CEP85
chr1	26606212	26608013	+	SH3BGRL3
chr1	26608772	26644756	-	UBXN11
chr1	26644410	26647014	+	CD52
chr1	26648349	26680621	-	AIM1L
chr1	26688124	26699266	-	ZNF683
chr1	26737268	26756219	+	LIN28A
chr1	26789254	26794028	-	AL050085
chr1	26758772	26797795	+	DHDDS
chr1	26798901	26803133	+	HMGN2
chr1	26881032	26881084	+	MIR1976
chr1	26856248	26901520	+	RPS6KA1
chr1	27022521	27108601	+	ARID1A
chr1	27114453	27124894	+	PIGV
chr1	27153200	27182211	+	ZDHHC18
chr1	27189632	27190947	-	SFN
chr1	27205872	27216869	-	GPN2
chr1	27216978	27226962	-	GPATCH3
chr1	27237974	27240567	-	NR0B2
chr1	27248212	27273362	+	NUDC
chr1	27276046	27286901	-	C1orf172
chr1	27320194	27327377	+	TRNP1
chr1	27331510	27339333	-	FAM46B
chr1	27145536	171007413	+	BC016143
chr1	27425299	27481621	-	SLC9A1
chr1	27533765	27533868	+	DL490887
chr1	27561006	27635124	+	WDTC1
chr1	27650364	27653016	+	LOC644961
chr1	27648635	27662891	+	TMEM222
chr1	27668482	27680423	+	SYTL1
chr1	27681669	27693337	-	MAP3K6
chr1	27695600	27701315	-	FCN3
chr1	27705595	27709805	-	CD164L2
chr1	27719147	27722317	+	GPR3
chr1	27730733	27816678	-	WASF2
chr1	27860755	27930361	-	AHDC1
chr1	27938800	27961727	-	FGR
chr1	27992571	27998724	-	IFI6
chr1	28052489	28089423	+	FAM76A
chr1	28099693	28150963	+	STX12
chr1	28160911	28161077	+	SCARNA1
chr1	28157251	28178183	+	PPP1R8
chr1	28199054	28213193	+	THEMIS2
chr1	28218048	28241236	-	RPA2
chr1	28261503	28285663	+	SMPDL3B
chr1	28286503	28294604	+	XKR8
chr1	28296854	28415148	-	EYA3
chr1	28473676	28520447	-	PTAFR
chr1	28526789	28559542	-	DNAJC8
chr1	28562601	28564616	+	ATPIF1
chr1	28567542	104192090	+	JA611241
chr1	28585962	28609002	+	SESN2
chr1	28655512	28662478	+	MED18
chr1	28696092	28826881	+	PHACTR4
chr1	28832454	28837404	+	SNHG3
chr1	28832454	28865708	+	RCC1
chr1	28879528	28905057	+	TRNAU1AP
chr1	28905254	28905334	-	SNORD99
chr1	28906275	28906405	-	SNORA61
chr1	28906892	28907024	-	SNORA44
chr1	28907431	28907565	-	SNORA16A
chr1	28905049	28908383	-	SNHG12
chr1	28918711	28921088	+	RAB42
chr1	28929608	28969604	-	TAF12
chr1	28975111	28975246	+	RNU11
chr1	29016176	29016306	+	SCARNA24
chr1	28995239	29042115	+	GMEB1
chr1	29063132	29096287	+	YTHDF2
chr1	29138653	29190208	+	OPRD1
chr1	29213602	29446558	+	EPB41
chr1	29445936	29450421	-	TMEM200B
chr1	29474249	29508637	-	SRSF4
chr1	29519384	29557454	-	MECR
chr1	29563027	29653325	+	PTPRU
chr1	30486798	30510456	-	BC042538
chr1	31184123	31196432	-	MATN1
chr1	31191618	31199593	+	MATN1-AS1
chr1	31212002	31212079	-	MIR4420
chr1	31205314	31230683	-	LAPTM5
chr1	31342312	31381480	-	SDC3
chr1	31408535	31422052	-	SNORD103A
chr1	31441009	31441084	-	SNORD85
chr1	31404352	31538763	-	PUM1
chr1	31652591	31712734	-	NKAIN1
chr1	31732414	31769644	-	SNRNP40
chr1	31769841	31837780	+	ZCCHC17
chr1	31838099	31845923	-	FABP3
chr1	31882411	31907527	+	SERINC2
chr1	31971838	31974167	+	LOC149086
chr1	31984035	31989846	+	LOC284551
chr1	32042085	32053287	+	TINAGL1
chr1	32083300	32098119	+	HCRTR1
chr1	32095467	32098435	-	AX747565
chr1	32095462	32110838	-	PEF1
chr1	32117847	32169768	-	COL16A1
chr1	32192717	32229648	-	BAI2
chr1	32224260	32224336	-	MIR4254
chr1	32256024	32258424	-	BC069257
chr1	32256024	32281580	-	SPOCD1
chr1	32372021	32403988	-	PTP4A2
chr1	32479294	32526460	+	KHDRBS1
chr1	32538502	32568467	+	TMEM39B
chr1	32573643	32642168	+	KPNA6
chr1	32645344	32663886	+	TXLNA
chr1	32666201	32670991	+	CCDC28B
chr1	32671235	32674288	+	IQCC
chr1	32674694	32681797	+	DCDC2B
chr1	32680077	32687926	-	TMEM234
chr1	32687184	32697205	+	EIF3I
chr1	32697260	32707311	-	MTMR9LP
chr1	32712817	32714461	+	FAM167B
chr1	32716839	32751766	+	LCK
chr1	32757707	32799224	+	HDAC1
chr1	32799429	32801840	-	MARCKSL1
chr1	32826870	32827844	-	FAM229A
chr1	32827861	32829924	+	TSSK3
chr1	32830704	32860062	-	BSDC1
chr1	32930657	32953459	+	ZBTB8B
chr1	32930657	33071542	+	ZBTB8A
chr1	33065772	33116185	-	ZBTB8OS
chr1	33116748	33151812	+	RBBP4
chr1	33145506	33168361	-	SYNC
chr1	33207511	33240571	+	KIAA1522
chr1	33240839	33283633	-	YARS
chr1	33283042	33324480	+	S100PBP
chr1	33327868	33338082	-	FNDC5
chr1	33352097	33360247	+	HPCA
chr1	33360195	33366953	-	TMEM54
chr1	33402049	33430286	-	RNF19B
chr1	33452675	33498070	+	BC036308
chr1	33473540	33502512	-	AK2
chr1	33546713	33586131	+	ADC
chr1	33607471	33608831	-	AX747064
chr1	33611002	33647671	-	TRIM62
chr1	33722173	33766320	+	ZNF362
chr1	33772366	33786699	-	A3GALT2
chr1	33797993	33798093	-	MIR3605
chr1	1323794	237284409	-	7SK
chr1	33789223	33896615	-	PHC2
chr1	33938231	33961995	+	ZSCAN20
chr1	33979608	34631443	-	CSMD2
chr1	34326075	34330392	+	HMGB4
chr1	34334556	34351059	+	LOC402779
chr1	34632623	34684731	+	C1orf94
chr1	35220647	35224113	+	GJB5
chr1	35225341	35229325	+	GJB4
chr1	2924322	245533719	-	Mir_548
chr1	35246789	35251967	+	GJB3
chr1	35258170	35261348	+	GJA4
chr1	35315962	35325417	-	SMIM12
chr1	35331036	35370984	-	DLGAP3
chr1	35441299	35450948	-	LOC653160
chr1	35447126	35450948	-	ZMYM6NB
chr1	35449367	35497569	-	ZMYM6
chr1	35544971	35581455	+	ZMYM1
chr1	35641980	35646083	-	AL831889
chr1	35641980	35646083	-	BX537811
chr1	35649200	35658743	-	SFPQ
chr1	35833677	35835012	+	AF119915
chr1	35734567	35887545	+	ZMYM4
chr1	35899090	36023551	-	KIAA0319L
chr1	36023392	36032380	+	NCDN
chr1	36038970	36060927	+	TFAP2E
chr1	36035412	36107445	-	PSMB2
chr1	36179476	36184790	-	C1orf216
chr1	36197712	36235551	-	CLSPN
chr1	36273827	36323490	+	AGO4
chr1	36335408	36389899	+	AGO1
chr1	36391432	36395210	+	AK025726
chr1	36396318	36522063	+	AGO3
chr1	36549675	36553876	+	TEKT2
chr1	36554452	36559533	+	ADPRHL2
chr1	36560843	36565850	-	COL8A2
chr1	36602169	36621654	-	TRAPPC3
chr1	36621802	36646441	+	MAP7D1
chr1	36690016	36770957	+	THRAP3
chr1	36771993	36790484	+	SH3D21
chr1	36787631	36789755	-	EVA1B
chr1	36805224	36851485	-	STK40
chr1	36859030	36863493	-	LSM10
chr1	36883506	36916086	-	OSCP1
chr1	36921361	36930040	-	MRPS15
chr1	36931643	36948915	-	CSF3R
chr1	37261127	37499844	-	GRIK3
chr1	37627163	37627235	+	MIR4255
chr1	37920479	37940044	-	LOC728431
chr1	37940118	37949978	+	ZC3H12A
chr1	37966535	37966595	-	MIR5581
chr1	37955560	37980420	-	MEAF6
chr1	38000049	38019945	-	SNIP1
chr1	38022519	38032458	+	DNALI1
chr1	38032412	38061586	-	GNL2
chr1	38076950	38100595	-	RSPO1
chr1	38147241	38157888	-	C1orf109
chr1	38147242	38149864	-	AX747480
chr1	38158072	38175391	+	CDCA8
chr1	38179552	38230824	-	EPHA10
chr1	38259773	38267278	+	MANEAL
chr1	38268613	38273865	-	YRDC
chr1	38273472	38275126	+	C1orf122
chr1	38275238	38325292	-	MTF1
chr1	14692333	186505222	+	SNORA63
chr1	38326368	38412729	-	INPP5B
chr1	38422651	38455761	-	SF3A3
chr1	38462441	38471187	-	FHL3
chr1	38478383	38490497	+	UTP11L
chr1	38509522	38512450	-	POU3F1
chr1	38554902	38555001	+	MIR3659
chr1	38674705	38680439	-	LOC339442
chr1	39303868	39340166	-	RRAGC
chr1	39328161	39339050	-	MYCBP
chr1	39340222	39341770	-	GJA9
chr1	39328161	39347298	-	GJA9-MYCBP
chr1	39351478	39407456	-	RHBDL2
chr1	39456915	39471737	+	AKIRIN1
chr1	39491966	39500308	+	NDUFS5
chr1	39547088	39952810	+	MACF1
chr1	31448002	233037457	-	Mir_562
chr1	39875175	39882154	+	KIAA0754
chr1	39987951	40025370	-	PPIEL
chr1	39957317	39995541	+	BMP8A
chr1	40033045	40033182	-	SNORA55
chr1	40026484	40042521	-	PABPC4
chr1	40089102	40105348	-	HEYL
chr1	40124792	40137710	-	NT5C1A
chr1	40144644	40157089	-	HPCAL4
chr1	40204516	40229586	+	PPIE
chr1	40222853	40225715	-	AB075489
